Resource,Oberon,NEXT01RA2026,CAM_CAM_RA_i,CAM_CPE_RA_ii,CAM_CPE_RA_i,CAISO_Advanced_CCGT_candidate,HDP01RA2027,SUN01RA2031,CAISO_Shed_DR_Tranche1,Aramis,SENA01RA2027,CALP01RA2027,TPS01RA2024,CAM_DR_RA,EBMUD01RA2024,HDP01RA2030,MRL01RA2030,CAISO_Aero_CT_candidate,CHEV01RA2025,CAM_CAM_RA_ii,OhmConnect,SDGE01RA2024,CHEV01RA2024,HDP01RA2028,CAM_CAM_RA_iii,Generic_RA_Only,GEN01RA2026,CAISO_Reciprocating_Engine_candidate,EdwardsSolarII,BTM_Solar,Wyoming_Wind,NW_Ext_Tx_Wind,Humboldt_Bay_Offshore_Wind,Riverside_Solar,Arizona_Solar,RosamondCentral,TulareSolarCenter,Riverside_Palm_Springs_Wind,SummitWind,Northern_California_Solar,Tecolote,Northern_California_Wind,New_Mexico_Wind,Morro_Bay_Offshore_Wind,Generic_6hr_battery,Northern_California_Li_Battery,Riverside_West_Pumped_Storage,Tumbleweed,Tehachapi_Pumped_Storage,Sanborn,Arizona_Li_Battery,Generic_8hr_battery,Riverside_Li_Battery,CAISO_New_Flow_Battery,HenriettaStorage,InState_Biomass,Northern_California_Geothermal,Southern_Nevada_Geothermal,FervoFECNevada1,Greater_Imperial_Geothermal,Scarlet,Hybrid_Solar_Test,Hybrid_Wind_Test,DaggettSolarPower3
Zone,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
t1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-72.69353525045905,-72.92105932605112,-69.00601117486698,-69.87766020572586,-69.00601117486698,-69.87766020572586,-72.92105932605112,-72.92105932605112,-72.92105932605112,-72.92105932605112,-75.56595214829542,0.0,0.0,0.0,0.0,0.0,-89.94601117486697,-69.00601117486698,-71.70353525045905,-93.79353525045904
t2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-64.00601117486697,-72.92105932605112,-69.00601117486698,-69.87766020572586,-69.00601117486698,-69.87766020572586,-72.92105932605112,-72.92105932605112,-72.92105932605112,-72.92105932605112,-75.56595214829542,0.0,0.0,0.0,0.0,0.0,-89.94601117486697,-69.00601117486698,-71.70353525045905,-93.79353525045904
t3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-64.00601117486697,-72.92105932605112,-69.00601117486698,-69.87766020572586,-69.00601117486698,-69.87766020572586,-72.92105932605112,-72.92105932605112,-72.92105932605112,-72.92105932605112,-75.56595214829542,0.0,0.0,0.0,0.0,0.0,-89.94601117486697,-69.00601117486698,-71.70353525045905,-93.79353525045904
t4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-64.00601117486697,-72.92105932605112,-69.00601117486698,-69.87766020572586,-69.00601117486698,-69.87766020572586,-72.92105932605112,-72.92105932605112,-72.92105932605112,-72.92105932605112,-75.56595214829542,0.0,0.0,0.0,0.0,0.0,-89.94601117486697,-69.00601117486698,-68.48353525045904,-93.79353525045904
t5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-64.00601117486697,-72.92105932605112,-69.00601117486698,-69.87766020572586,-69.00601117486698,-69.87766020572586,-72.92105932605112,-72.92105932605112,-72.92105932605112,-72.92105932605112,-75.56595214829542,0.0,0.0,0.0,0.0,0.0,-89.94601117486697,-69.00601117486698,-68.48353525045904,-93.79353525045904
t6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-64.00601117486697,-72.92105932605112,-69.00601117486698,-69.87766020572586,-69.00601117486698,-69.87766020572586,-72.92105932605112,-64.00601117486697,-72.92105932605112,-63.483535250459035,-75.56595214829542,0.0,0.0,0.0,0.0,0.0,-89.94601117486697,-69.00601117486698,-68.48353525045904,-93.79353525045904
t7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-64.00601117486697,-72.92105932605112,-60.67474735348123,-69.87766020572586,-60.67474735348123,-69.87766020572586,-72.92105932605112,-64.00601117486697,-72.92105932605112,-63.483535250459035,-68.48353525045904,0.0,0.0,0.0,0.0,0.0,-89.94601117486697,-69.00601117486698,-68.48353525045904,-93.79353525045904
t8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-64.00601117486697,-72.92105932605112,-60.67474735348123,-69.87766020572586,-60.67474735348123,-69.87766020572586,-72.92105932605112,-64.00601117486697,-72.92105932605112,-63.483535250459035,-68.48353525045904,0.0,0.0,0.0,0.0,0.0,-89.94601117486697,-69.00601117486698,-68.48353525045904,-69.87766020572586
t9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-64.00601117486697,-52.06600879674736,-60.67474735348123,-69.87766020572586,-60.67474735348123,-69.87766020572586,-52.06600879674736,-64.00601117486697,-52.06600879674736,-63.483535250459035,-68.48353525045904,0.0,0.0,0.0,0.0,0.0,-59.39601117486698,-60.67474735348123,-68.48353525045904,-69.87766020572586
