Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Demand_MW_z1,Demand_MW_z2,Demand_MW_z3,Demand_MW_z4,Demand_MW_z5,Demand_MW_z6,Demand_MW_z7,Time_Index
9000.0,1.0,1.0,1.0,9000.0,36.0,24.0,237.7431258183547,2313.1008843334,31367.3196580422,0.0,482.0623849223,2736.3108990821,19186.5095288699,13477.2076575703,1
,,,,,,,255.4695869539338,2170.7447078994,28965.8851102703,0.0,444.2723770315,2619.9570156319,18704.1291547376,12876.0872721861,2
,,,,,,,236.7003928103795,2078.749210344,27477.513595575798,0.0,431.7556358392,2556.4610392348,18430.1008670849,12533.0646444085,3
,,,,,,,274.23878109748813,2048.5826650752,27026.4607523156,0.0,412.4290201285,2572.7505829178,18648.2666387974,12413.0621104712,4
,,,,,,,350.3582906796807,2075.882141992,27817.4372317677,0.0,410.8464436559,2681.458354027,19359.758818171,12469.1863724972,5
,,,,,,,253.3841209379833,2169.2488461505,29524.2680779544,0.0,414.4911652292,2796.8149184762,20659.3172126449,12741.3151956104,6
,,,,,,,187.69194143554319,2349.7494971806,32823.4226276394,0.0,455.494282928,3033.8444010476,22084.5662679843,13354.2512151053,7
,,,,,,,228.35852874657758,2540.0979047241,36144.642476396206,0.0,515.3924045722,3299.4636949811,23058.0083531857,13912.9091654041,8
,,,,,,,188.73467444351843,2689.9333899024,37689.7868224669,0.0,574.2834320976,3427.7854064434,23563.0356932397,14502.5831552435,9
,,,,,,,207.50386858707276,2881.5283489033,39029.2097101196,0.0,649.0961380744,3744.267969428,23751.0055103899,15140.2581586579,10
,,,,,,,202.29020354719654,3056.4195183752,39943.1384405263,0.0,698.6355773526,3881.8979915662,24245.8417157792,15981.3836119166,11
,,,,,,,282.58064516129,3258.6101647639,40827.3257528217,0.0,759.5407931158,4026.5092467115,24580.6393619884,16826.9399279669,12
,,,,,,,152.239019164385,3469.9006367915,41689.2113976153,0.0,807.353785333,4160.1499928457,24864.1038854418,17873.7312624659,13
,,,,,,,162.66634924413745,3643.2959445145,42025.124008336505,0.0,846.582499108,4258.2196946109,25549.5520540054,18660.9478850944,14
,,,,,,,291.9652422330672,3771.6907446257,41559.89263072219,0.0,870.6088873736,4336.0105766891,26196.8778299342,19913.4051008335,15
,,,,,,,217.93119866682514,3940.4738119563,40427.4313400656,0.0,896.5535501515,4304.096368657,26420.7053431271,20531.141221686,16
,,,,,,,201.24747053922133,3972.7594947028,39973.63078189069,0.0,900.2462285875,4210.6808222298,26456.1855897378,20925.4880101322,17
,,,,,,,316.99083442447295,3775.8043644351,38735.364800687,0.0,845.9590598915,3994.9274783464,26231.6031776808,20849.4248655442,18
,,,,,,,277.36698012141386,3612.3814683712,37376.3210409727,0.0,803.0376676805,3819.7317738371,25785.0804995912,20285.966813888,19
,,,,,,,224.1875967146766,3436.7423680249,36908.0821299557,0.0,758.4377852712,3769.865823787,25134.7351282062,19338.1314150666,20
,,,,,,,200.20473753124608,3245.1474090241,36814.8215260655,0.0,713.3103773711,3543.4744105596,24147.7048634518,18544.2684982508,21
