Time_Index,Aquamarine_Westside,Arizona_Solar,GibsonSolar,Humboldt_Bay_Offshore_Wind,IndianValley_Hydro,Morro_Bay_Offshore_Wind,NW_Ext_Tx_Wind,New_Mexico_Wind,Northern_California_Solar,Northern_California_Wind,PutahCreek,Resurgence_Hybrid,Riverside_Palm_Springs_Wind,Riverside_Solar,WillowSpringsSolar,Wyoming_Wind,Arizona_Li_Battery,CAISO_Advanced_CCGT_candidate,CAISO_Aero_CT_candidate,CAISO_New_Flow_Battery,CAISO_New_Flow_Battery_12,CAISO_New_Flow_Battery_8,CAISO_New_LDES_Battery_12,CAISO_Reciprocating_Engine_candidate,CAISO_Shed_DR_Tranche1,CAM_CAM_RA_i,CAM_CAM_RA_ii,CAM_CAM_RA_iii,CAM_CPE_RA_i,CAM_CPE_RA_ii,CAM_DR_RA,CC_Power_GoalLine,CC_Power_Tumbleweed,FishLake,Generic_4hr_battery_low_cost,Generic_6hr_battery,Generic_6hr_battery_low_cost,Generic_8hr_battery,Generic_8hr_battery_low_cost,Generic_RA_Only,Greater_Imperial_Geothermal,InState_Biomass,Leapfrog_Power,Northern_California_Geothermal,Northern_California_Li_Battery,Ormat_Portfolio,Riverside_Li_Battery,Riverside_West_Pumped_Storage,Southern_Nevada_Geothermal,Tehachapi_Pumped_Storage,Tierra_Buena
11,0.259,0.96,0.092,1,0.023,0.82,0.332,0.102,0.73,0.351,0.012,0.613,0.565,0.9,0.722,0.259,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
12,0.301,0.987,0.026,1,0.023,0.82,0.351,0.134,0.712,0.318,0.036,0.558,0.752,0.943,0.693,0.304,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
13,0.327,1,0.114,1,0.023,0.85,0.383,0.149,0.773,0.329,0.095,0.564,0.862,0.998,0.689,0.326,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
14,0.37,0.951,0.018,1,0.023,0.87,0.419,0.151,0.773,0.323,0.042,0.586,0.869,0.912,0.733,0.348,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
15,0.399,0.822,0.009,1,0.023,0.84,0.456,0.153,0.7,0.324,0.041,0.546,0.822,0.751,0.775,0.355,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
16,0.396,0.579,0.033,1,0.023,0.73,0.49,0.176,0.494,0.365,0.021,0.445,0.729,0.585,0.532,0.4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
17,0.336,0.094,0,1,0.023,0.62,0.517,0.168,0.155,0.412,0,0.067,0.627,0.164,0.061,0.413,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
18,0.05,0,0,1,0.023,0.57,0.544,0.157,0,0.459,0,0,0.611,0,0,0.462,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
19,0,0,0,1,0.023,0.58,0.584,0.185,0,0.477,0,0,0.723,0,0,0.537,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
20,0,0,0,1,0.023,0.63,0.628,0.206,0,0.486,0,0,0.771,0,0,0.64,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
21,0,0,0,1,0.023,0.64,0.664,0.205,0,0.496,0,0,0.745,0,0,0.742,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
22,0,0,0,1,0.023,0.6,0.662,0.172,0,0.5,0,0,0.691,0,0,0.784,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
23,0,0,0,1,0.023,0.58,0.668,0.131,0,0.491,0,0,0.709,0,0,0.839,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
24,0,0,0,1,0.023,0.65,0.689,0.11,0,0.456,0,0,0.665,0,0,0.88,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
25,0,0,0,1,0.023,0.73,0.699,0.088,0,0.419,0,0,0.672,0,0,0.898,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
26,0,0,0,1,0.023,0.67,0.686,0.07,0,0.391,0,0,0.736,0,0,0.913,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
27,0,0,0,1,0.023,0.51,0.655,0.067,0,0.379,0,0,0.697,0,0,0.913,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
28,0,0,0,1,0.023,0.38,0.613,0.066,0,0.347,0,0,0.69,0,0,0.914,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
29,0,0,0,1,0.023,0.34,0.598,0.065,0,0.322,0,0,0.64,0,0,0.915,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
30,0,0,0,1,0.023,0.32,0.611,0.067,0,0.29,0,0,0.567,0,0,0.907,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
31,0,0.049,0,1,0.023,0.22,0.613,0.068,0,0.239,0,0,0.56,0.004,0,0.908,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
32,0,0.557,0,1,0.023,0.12,0.612,0.064,0.01,0.192,0,0.124,0.614,0.399,0.13,0.902,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
33,0.013,0.803,0.017,1,0.023,0.08,0.604,0.061,0.019,0.145,0,0.496,0.668,0.663,0.564,0.911,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
34,0.174,0.942,0.107,0.99,0.023,0.09,0.563,0.068,0.111,0.089,0.198,0.538,0.627,0.844,0.728,0.918,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
35,0.259,0.995,0,0.91,0.023,0.24,0.539,0.075,0.344,0.067,0,0.539,0.638,0.973,0.712,0.933,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
36,0.301,1,0.057,0.86,0.023,0.43,0.561,0.075,0.473,0.063,0.028,0.517,0.72,0.989,0.675,0.932,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
37,0.327,1,0.007,0.84,0.023,0.59,0.574,0.076,0.269,0.065,0.129,0.528,0.739,0.979,0.638,0.927,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
38,0.37,0.965,0.058,0.85,0.023,0.92,0.579,0.082,0.279,0.068,0.088,0.555,0.766,0.941,0.662,0.912,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
39,0.399,0.854,0.023,0.85,0.023,0.87,0.585,0.089,0.333,0.065,0.017,0.524,0.776,0.768,0.723,0.91,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
40,0.396,0.581,0.051,0.82,0.023,0.96,0.621,0.092,0.29,0.082,0.036,0.453,0.69,0.514,0.54,0.917,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
41,0.336,0.097,0.008,0.76,0.023,0.98,0.657,0.118,0.068,0.111,0.02,0.069,0.582,0.142,0.104,0.93,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
42,0.05,0,0,0.73,0.023,0.89,0.674,0.173,0,0.124,0,0,0.492,0,0,0.949,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
43,0,0,0,0.7,0.023,0.96,0.73,0.215,0,0.126,0,0,0.452,0,0,0.949,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
44,0,0,0,0.68,0.023,1,0.768,0.231,0,0.123,0,0,0.462,0,0,0.947,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
45,0,0,0,0.69,0.023,1,0.812,0.263,0,0.134,0,0,0.491,0,0,0.946,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
46,0,0,0,0.62,0.023,1,0.843,0.311,0,0.178,0,0,0.421,0,0,0.935,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
47,0,0,0,0.46,0.023,1,0.838,0.363,0,0.23,0,0,0.365,0,0,0.902,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
48,0,0,0,0.3,0.023,1,0.775,0.403,0,0.278,0,0,0.332,0,0,0.898,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
49,0,0,0,0.21,0.023,1,0.702,0.456,0,0.33,0,0,0.289,0,0,0.91,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
50,0,0,0,0.17,0.023,1,0.656,0.472,0,0.389,0,0,0.207,0,0,0.918,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
51,0,0,0,0.15,0.023,1,0.636,0.497,0,0.424,0,0,0.144,0,0,0.921,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
52,0,0,0,0.13,0.023,1,0.577,0.526,0,0.434,0,0,0.077,0,0,0.902,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
53,0,0,0,0.1,0.023,1,0.526,0.525,0,0.435,0,0,0.034,0,0,0.888,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
54,0,0,0,0.08,0.023,1,0.533,0.53,0,0.463,0,0,0.003,0,0,0.895,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
55,0,0.038,0,0.07,0.023,1,0.623,0.537,0,0.489,0,0,0,0,0,0.912,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
56,0,0.463,0,0.06,0.023,1,0.67,0.539,0.013,0.512,0,0.13,0,0.086,0.127,0.915,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
57,0.013,0.707,0.01,0.05,0.023,1,0.625,0.535,0.088,0.52,0.02,0.511,0,0.434,0.566,0.911,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
58,0.174,0.839,0.56,0.05,0.023,1,0.52,0.539,0.067,0.491,0.061,0.543,0,0.811,0.675,0.881,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
59,0.259,0.939,0.055,0.05,0.023,1,0.507,0.546,0.065,0.53,0.078,0.538,0,0.922,0.705,0.865,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
60,0.301,0.988,0.138,0.06,0.023,0.97,0.568,0.555,0.06,0.588,0.134,0.501,0,0.984,0.642,0.893,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
61,0.327,0.967,0.058,0.09,0.023,0.88,0.709,0.576,0.068,0.618,0.037,0.543,0,0.978,0.655,0.909,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
62,0.37,0.924,0.104,0.12,0.023,0.86,0.816,0.604,0.057,0.676,0.103,0.571,0,0.943,0.657,0.886,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
63,0.399,0.83,0.192,0.17,0.023,0.95,0.851,0.614,0.085,0.755,0.138,0.555,0,0.857,0.691,0.842,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
64,0.396,0.507,0.044,0.27,0.023,1,0.789,0.679,0.104,0.806,0.035,0.495,0.003,0.617,0.5,0.81,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
65,0.336,0.082,0,0.41,0.023,1,0.79,0.714,0.017,0.845,0,0.075,0.055,0.193,0.089,0.795,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
66,0.05,0,0,0.46,0.023,1,0.802,0.804,0,0.862,0,0,0.093,0,0,0.798,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
67,0,0,0,0.51,0.023,1,0.818,0.838,0,0.834,0,0,0.093,0,0,0.843,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
68,0,0,0,0.57,0.023,1,0.81,0.798,0,0.814,0,0,0.082,0,0,0.856,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
69,0,0,0,0.61,0.023,1,0.779,0.746,0,0.797,0,0,0.059,0,0,0.862,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
70,0,0,0,0.57,0.023,1,0.723,0.759,0,0.775,0,0,0.054,0,0,0.847,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
71,0,0,0,0.46,0.023,0.85,0.679,0.809,0,0.778,0,0,0.07,0,0,0.83,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
72,0,0,0,0.38,0.023,0.73,0.668,0.787,0,0.769,0,0,0.081,0,0,0.834,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
73,0,0,0,0.31,0.023,0.7,0.696,0.809,0,0.743,0,0,0.067,0,0,0.827,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
74,0,0,0,0.3,0.023,0.73,0.724,0.858,0,0.726,0,0,0.05,0,0,0.831,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
75,0,0,0,0.25,0.023,0.76,0.728,0.862,0,0.669,0,0,0.052,0,0,0.853,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
76,0,0,0,0.23,0.023,0.8,0.707,0.855,0,0.583,0,0,0.069,0,0,0.881,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
77,0,0,0,0.2,0.023,0.87,0.703,0.873,0,0.546,0,0,0.088,0,0,0.899,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
78,0,0,0,0.12,0.023,1,0.654,0.813,0,0.502,0,0,0.105,0,0,0.916,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
79,0,0.048,0,0.03,0.023,1,0.58,0.888,0,0.499,0,0,0.144,0.003,0,0.887,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
80,0,0.542,0,0,0.023,1,0.614,0.943,0.034,0.481,0,0.138,0.168,0.396,0.124,0.801,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
81,0.013,0.78,0.203,0,0.023,1,0.594,0.941,0.192,0.505,0.096,0.516,0.178,0.675,0.54,0.746,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
82,0.174,0.918,0.607,0,0.023,0.92,0.546,0.935,0.246,0.494,0.604,0.6,0.138,0.831,0.703,0.763,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
83,0.259,0.978,0.612,0.08,0.023,0.78,0.555,0.921,0.332,0.505,0.597,0.608,0.148,0.887,0.7,0.787,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
84,0.301,0.991,0.578,0.21,0.023,0.81,0.537,0.892,0.276,0.504,0.552,0.556,0.244,0.926,0.669,0.769,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
85,0.327,0.978,0.564,0.48,0.023,0.9,0.56,0.841,0.305,0.552,0.538,0.595,0.342,0.984,0.646,0.73,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
86,0.37,0.94,0.601,0.7,0.023,0.84,0.663,0.826,0.289,0.624,0.582,0.598,0.456,0.96,0.655,0.654,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
87,0.399,0.818,0.634,1,0.023,0.96,0.77,0.878,0.393,0.63,0.626,0.58,0.543,0.87,0.716,0.551,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
88,0.396,0.569,0.567,1,0.023,1,0.761,0.926,0.301,0.644,0.504,0.507,0.642,0.609,0.523,0.473,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
89,0.336,0.11,0.089,1,0.023,1,0.811,0.948,0.098,0.573,0.093,0.085,0.754,0.191,0.088,0.436,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
90,0.05,0,0,1,0.023,1,0.9,0.974,0,0.68,0,0,0.829,0,0,0.392,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
91,0,0,0,1,0.023,0.65,0.899,0.956,0,0.787,0,0,0.854,0,0,0.415,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
92,0,0,0,1,0.023,0.7,0.877,0.936,0,0.849,0,0,0.858,0,0,0.493,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
93,0,0,0,1,0.023,0.64,0.86,0.942,0,0.895,0,0,0.83,0,0,0.503,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
94,0,0,0,1,0.023,0.51,0.87,0.965,0,0.873,0,0,0.849,0,0,0.449,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
95,0,0,0,1,0.023,0.49,0.838,0.987,0,0.865,0,0,0.864,0,0,0.377,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
96,0,0,0,1,0.023,0.41,0.842,0.983,0,0.902,0,0,0.8,0,0,0.338,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
97,0,0,0,1,0.023,0.34,0.835,0.958,0,0.869,0,0,0.747,0,0,0.317,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
98,0,0,0,1,0.023,0.25,0.809,0.948,0,0.852,0,0,0.654,0,0,0.287,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
99,0,0,0,1,0.023,0.19,0.755,0.956,0,0.797,0,0,0.614,0,0,0.336,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100,0,0,0,1,0.023,0.1,0.715,0.961,0,0.784,0,0,0.572,0,0,0.329,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
101,0,0,0,0.97,0.023,0.03,0.672,0.947,0,0.748,0,0,0.503,0,0,0.295,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
