Resource,Zone,region,New_Build,Can_Retire,Existing_Cap_MW,Max_Cap_MW,Min_Cap_MW,Inv_Cost_per_MWyr,Fixed_OM_Cost_per_MWyr,cluster,Resource_Type,MGA
Northern_California_Flow_Battery_127,0,None,1,0,0.0,-1,0.0,247877.8919778,0,0,None,0
Northern_California_Flow_Battery_127_Generic,0,None,1,0,0.0,-1,0.0,247877.8919778,0,0,None,0
Northern_California_Flow_Battery_130,0,None,1,0,0.0,-1,0.0,247877.8919778,0,0,None,0
Northern_California_Flow_Battery_130_Generic,0,None,1,0,0.0,-1,0.0,247877.8919778,0,0,None,0
Northern_California_Flow_Battery_132,0,None,1,0,0.0,-1,0.0,247877.8919778,0,0,None,0
Northern_California_Flow_Battery_132_Generic,0,None,1,0,0.0,-1,0.0,247877.8919778,0,0,None,0
Northern_California_Flow_Battery_135,0,None,1,0,0.0,-1,0.0,247877.8919778,0,0,None,0
Northern_California_Flow_Battery_135_Generic,0,None,1,0,0.0,-1,0.0,247877.8919778,0,0,None,0
Northern_California_Flow_Battery_138,0,None,1,0,0.0,-1,0.0,247877.8919778,0,0,None,0
Northern_California_Flow_Battery_138_Generic,0,None,1,0,0.0,-1,0.0,247877.8919778,0,0,None,0
Northern_California_Flow_Battery_141,0,None,1,0,0.0,-1,0.0,247877.8919778,0,0,None,0
Northern_California_Flow_Battery_141_Generic,0,None,1,0,0.0,-1,0.0,247877.8919778,0,0,None,0
Northern_California_Flow_Battery_144,0,None,1,0,0.0,-1,0.0,247877.8919778,0,0,None,0
Northern_California_Flow_Battery_144_Generic,0,None,1,0,0.0,-1,0.0,247877.8919778,0,0,None,0
Northern_California_Flow_Battery_149,0,None,1,0,0.0,-1,0.0,247877.8919778,0,0,None,0
Northern_California_Flow_Battery_149_Generic,0,None,1,0,0.0,-1,0.0,247877.8919778,0,0,None,0
Northern_California_Flow_Battery_150,0,None,1,0,0.0,-1,0.0,247877.8919778,0,0,None,0
Northern_California_Flow_Battery_150_Generic,0,None,1,0,0.0,-1,0.0,247877.8919778,0,0,None,0
Northern_California_Flow_Battery_155,0,None,1,0,0.0,-1,0.0,247877.8919778,0,0,None,0
Northern_California_Flow_Battery_155_Generic,0,None,1,0,0.0,-1,0.0,247877.8919778,0,0,None,0
Northern_California_Flow_Battery_157,0,None,1,0,0.0,-1,0.0,247877.8919778,0,0,None,0
Northern_California_Flow_Battery_157_Generic,0,None,1,0,0.0,-1,0.0,247877.8919778,0,0,None,0
Northern_California_Flow_Battery_158,0,None,1,0,0.0,-1,0.0,247877.8919778,0,0,None,0
Northern_California_Flow_Battery_158_Generic,0,None,1,0,0.0,-1,0.0,247877.8919778,0,0,None,0
Northern_California_Flow_Battery_159,0,None,1,0,0.0,-1,0.0,247877.8919778,0,0,None,0
Northern_California_Flow_Battery_159_Generic,0,None,1,0,0.0,-1,0.0,247877.8919778,0,0,None,0
Northern_California_Flow_Battery_166,0,None,1,0,0.0,-1,0.0,247877.8919778,0,0,None,0
Northern_California_Flow_Battery_166_Generic,0,None,1,0,0.0,-1,0.0,247877.8919778,0,0,None,0
Northern_California_Flow_Battery_172,0,None,1,0,0.0,-1,0.0,247877.8919778,0,0,None,0
Northern_California_Flow_Battery_172_Generic,0,None,1,0,0.0,-1,0.0,247877.8919778,0,0,None,0
Northern_California_Flow_Battery_178,0,None,1,0,0.0,-1,0.0,247877.8919778,0,0,None,0
Northern_California_Flow_Battery_178_Generic,0,None,1,0,0.0,-1,0.0,247877.8919778,0,0,None,0
Northern_California_Flow_Battery_179,0,None,1,0,0.0,-1,0.0,247877.8919778,0,0,None,0
Northern_California_Flow_Battery_179_Generic,0,None,1,0,0.0,-1,0.0,247877.8919778,0,0,None,0
Northern_California_Flow_Battery_180,0,None,1,0,0.0,-1,0.0,247877.8919778,0,0,None,0
Northern_California_Flow_Battery_180_Generic,0,None,1,0,0.0,-1,0.0,247877.8919778,0,0,None,0
Northern_California_Flow_Battery_25,0,None,1,0,0.0,-1,0.0,247877.8919778,0,0,None,0
Northern_California_Flow_Battery_25_Generic,0,None,1,0,0.0,-1,0.0,247877.8919778,0,0,None,0
Northern_California_Flow_Battery_26,0,None,1,0,0.0,-1,0.0,247877.8919778,0,0,None,0
Northern_California_Flow_Battery_26_Generic,0,None,1,0,0.0,-1,0.0,247877.8919778,0,0,None,0
Northern_California_Flow_Battery_29,0,None,1,0,0.0,-1,0.0,247877.8919778,0,0,None,0
Northern_California_Flow_Battery_29_Generic,0,None,1,0,0.0,-1,0.0,247877.8919778,0,0,None,0
Northern_California_Flow_Battery_31,0,None,1,0,0.0,-1,0.0,247877.8919778,0,0,None,0
Northern_California_Flow_Battery_31_Generic,0,None,1,0,0.0,-1,0.0,247877.8919778,0,0,None,0
Northern_California_Flow_Battery_35,0,None,1,0,0.0,-1,0.0,247877.8919778,0,0,None,0
Northern_California_Flow_Battery_35_Generic,0,None,1,0,0.0,-1,0.0,247877.8919778,0,0,None,0
Northern_California_Flow_Battery_38,0,None,1,0,0.0,-1,0.0,247877.8919778,0,0,None,0
Northern_California_Flow_Battery_38_Generic,0,None,1,0,0.0,-1,0.0,247877.8919778,0,0,None,0
Northern_California_Flow_Battery_41,0,None,1,0,0.0,-1,0.0,247877.8919778,0,0,None,0
Northern_California_Flow_Battery_41_Generic,0,None,1,0,0.0,-1,0.0,247877.8919778,0,0,None,0
Northern_California_Flow_Battery_44,0,None,1,0,0.0,-1,0.0,247877.8919778,0,0,None,0
Northern_California_Flow_Battery_44_Generic,0,None,1,0,0.0,-1,0.0,247877.8919778,0,0,None,0
Northern_California_Flow_Battery_5,0,None,1,0,0.0,-1,0.0,247877.8919778,0,0,None,0
Northern_California_Flow_Battery_51,0,None,1,0,0.0,-1,0.0,247877.8919778,0,0,None,0
Northern_California_Flow_Battery_51_Generic,0,None,1,0,0.0,-1,0.0,247877.8919778,0,0,None,0
Northern_California_Flow_Battery_57,0,None,1,0,0.0,-1,0.0,247877.8919778,0,0,None,0
Northern_California_Flow_Battery_57_Generic,0,None,1,0,0.0,-1,0.0,247877.8919778,0,0,None,0
Northern_California_Flow_Battery_5_Generic,0,None,1,0,0.0,-1,0.0,247877.8919778,0,0,None,0
Northern_California_Flow_Battery_68,0,None,1,0,0.0,-1,0.0,247877.8919778,0,0,None,0
Northern_California_Flow_Battery_68_Generic,0,None,1,0,0.0,-1,0.0,247877.8919778,0,0,None,0
Northern_California_Flow_Battery_70,0,None,1,0,0.0,-1,0.0,247877.8919778,0,0,None,0
Northern_California_Flow_Battery_70_Generic,0,None,1,0,0.0,-1,0.0,247877.8919778,0,0,None,0
Northern_California_Flow_Battery_73,0,None,1,0,0.0,-1,0.0,247877.8919778,0,0,None,0
Northern_California_Flow_Battery_73_Generic,0,None,1,0,0.0,-1,0.0,247877.8919778,0,0,None,0
Northern_California_Flow_Battery_76,0,None,1,0,0.0,-1,0.0,247877.8919778,0,0,None,0
Northern_California_Flow_Battery_76_Generic,0,None,1,0,0.0,-1,0.0,247877.8919778,0,0,None,0
Northern_California_Flow_Battery_80,0,None,1,0,0.0,-1,0.0,247877.8919778,0,0,None,0
Northern_California_Flow_Battery_80_Generic,0,None,1,0,0.0,-1,0.0,247877.8919778,0,0,None,0
Northern_California_Flow_Battery_82,0,None,1,0,0.0,-1,0.0,247877.8919778,0,0,None,0
Northern_California_Flow_Battery_82_Generic,0,None,1,0,0.0,-1,0.0,247877.8919778,0,0,None,0
Northern_California_Flow_Battery_83,0,None,1,0,0.0,-1,0.0,247877.8919778,0,0,None,0
Northern_California_Flow_Battery_83_Generic,0,None,1,0,0.0,-1,0.0,247877.8919778,0,0,None,0
Northern_California_Flow_Battery_84,0,None,1,0,0.0,-1,0.0,247877.8919778,0,0,None,0
Northern_California_Flow_Battery_84_Generic,0,None,1,0,0.0,-1,0.0,247877.8919778,0,0,None,0
Northern_California_Flow_Battery_85,0,None,1,0,0.0,-1,0.0,247877.8919778,0,0,None,0
Northern_California_Flow_Battery_85_Generic,0,None,1,0,0.0,-1,0.0,247877.8919778,0,0,None,0
Northern_California_Flow_Battery_92,0,None,1,0,0.0,-1,0.0,247877.8919778,0,0,None,0
Northern_California_Flow_Battery_92_Generic,0,None,1,0,0.0,-1,0.0,247877.8919778,0,0,None,0
Northern_California_Flow_Battery_94,0,None,1,0,0.0,-1,0.0,247877.8919778,0,0,None,0
Northern_California_Flow_Battery_94_Generic,0,None,1,0,0.0,-1,0.0,247877.8919778,0,0,None,0
Northern_California_Flow_Battery_96,0,None,1,0,0.0,-1,0.0,247877.8919778,0,0,None,0
Northern_California_Flow_Battery_96_Generic,0,None,1,0,0.0,-1,0.0,247877.8919778,0,0,None,0
Northern_California_Geothermal_100,0,None,1,0,0.0,9.0,0.0,468593.6978116,0,0,None,0
Northern_California_Geothermal_100_Generic,0,None,1,0,0.0,9.0,0.0,468593.6978116,0,0,None,0
Northern_California_Geothermal_35,0,None,1,0,0.0,22.7,0.0,466107.683288,0,0,None,0
Northern_California_Geothermal_35_Generic,0,None,1,0,0.0,22.7,0.0,466107.683288,0,0,None,0
Northern_California_Geothermal_5,0,None,1,0,0.0,538.9,0.0,471822.11888080003,0,0,None,0
Northern_California_Geothermal_5_Generic,0,None,1,0,0.0,538.9,0.0,471822.11888080003,0,0,None,0
Northern_California_Geothermal_70,0,None,1,0,0.0,277.7,0.0,459373.0693224,0,0,None,0
Northern_California_Geothermal_70_Generic,0,None,1,0,0.0,277.7,0.0,459373.0693224,0,0,None,0
Northern_California_Li_Battery_4hr_100,0,None,1,0,0.0,-1,0.0,106301.451946,0,0,None,0
Northern_California_Li_Battery_4hr_100_Generic,0,None,1,0,0.0,-1,0.0,106301.451946,0,0,None,0
Northern_California_Li_Battery_4hr_112,0,None,1,0,0.0,-1,0.0,106301.451946,0,0,None,0
Northern_California_Li_Battery_4hr_112_Generic,0,None,1,0,0.0,-1,0.0,106301.451946,0,0,None,0
Northern_California_Li_Battery_4hr_113,0,None,1,0,0.0,-1,0.0,106301.451946,0,0,None,0
Northern_California_Li_Battery_4hr_113_Generic,0,None,1,0,0.0,-1,0.0,106301.451946,0,0,None,0
Northern_California_Li_Battery_4hr_114,0,None,1,0,0.0,-1,0.0,106301.451946,0,0,None,0
Northern_California_Li_Battery_4hr_114_Generic,0,None,1,0,0.0,-1,0.0,106301.451946,0,0,None,0
Northern_California_Li_Battery_4hr_116,0,None,1,0,0.0,-1,0.0,106301.451946,0,0,None,0
Northern_California_Li_Battery_4hr_116_Generic,0,None,1,0,0.0,-1,0.0,106301.451946,0,0,None,0
Northern_California_Li_Battery_4hr_121,0,None,1,0,0.0,-1,0.0,106301.451946,0,0,None,0
Northern_California_Li_Battery_4hr_121_Generic,0,None,1,0,0.0,-1,0.0,106301.451946,0,0,None,0
Northern_California_Li_Battery_4hr_122,0,None,1,0,0.0,-1,0.0,106301.451946,0,0,None,0
Northern_California_Li_Battery_4hr_122_Generic,0,None,1,0,0.0,-1,0.0,106301.451946,0,0,None,0
Northern_California_Li_Battery_4hr_126,0,None,1,0,0.0,-1,0.0,106301.451946,0,0,None,0
Northern_California_Li_Battery_4hr_126_Generic,0,None,1,0,0.0,-1,0.0,106301.451946,0,0,None,0
Northern_California_Li_Battery_4hr_127,0,None,1,0,0.0,-1,0.0,106301.451946,0,0,None,0
Northern_California_Li_Battery_4hr_127_Generic,0,None,1,0,0.0,-1,0.0,106301.451946,0,0,None,0
Northern_California_Li_Battery_4hr_130,0,None,1,0,0.0,-1,0.0,106301.451946,0,0,None,0
Northern_California_Li_Battery_4hr_130_Generic,0,None,1,0,0.0,-1,0.0,106301.451946,0,0,None,0
Northern_California_Li_Battery_4hr_132,0,None,1,0,0.0,-1,0.0,106301.451946,0,0,None,0
Northern_California_Li_Battery_4hr_132_Generic,0,None,1,0,0.0,-1,0.0,106301.451946,0,0,None,0
Northern_California_Li_Battery_4hr_135,0,None,1,0,0.0,-1,0.0,106301.451946,0,0,None,0
Northern_California_Li_Battery_4hr_135_Generic,0,None,1,0,0.0,-1,0.0,106301.451946,0,0,None,0
Northern_California_Li_Battery_4hr_138,0,None,1,0,0.0,-1,0.0,106301.451946,0,0,None,0
Northern_California_Li_Battery_4hr_138_Generic,0,None,1,0,0.0,-1,0.0,106301.451946,0,0,None,0
Northern_California_Li_Battery_4hr_141,0,None,1,0,0.0,-1,0.0,106301.451946,0,0,None,0
Northern_California_Li_Battery_4hr_141_Generic,0,None,1,0,0.0,-1,0.0,106301.451946,0,0,None,0
Northern_California_Li_Battery_4hr_144,0,None,1,0,0.0,-1,0.0,106301.451946,0,0,None,0
Northern_California_Li_Battery_4hr_144_Generic,0,None,1,0,0.0,-1,0.0,106301.451946,0,0,None,0
Northern_California_Li_Battery_4hr_149,0,None,1,0,0.0,-1,0.0,106301.451946,0,0,None,0
Northern_California_Li_Battery_4hr_149_Generic,0,None,1,0,0.0,-1,0.0,106301.451946,0,0,None,0
Northern_California_Li_Battery_4hr_150,0,None,1,0,0.0,-1,0.0,106301.451946,0,0,None,0
Northern_California_Li_Battery_4hr_150_Generic,0,None,1,0,0.0,-1,0.0,106301.451946,0,0,None,0
Northern_California_Li_Battery_4hr_155,0,None,1,0,0.0,-1,0.0,106301.451946,0,0,None,0
Northern_California_Li_Battery_4hr_155_Generic,0,None,1,0,0.0,-1,0.0,106301.451946,0,0,None,0
Northern_California_Li_Battery_4hr_157,0,None,1,0,0.0,-1,0.0,106301.451946,0,0,None,0
Northern_California_Li_Battery_4hr_157_Generic,0,None,1,0,0.0,-1,0.0,106301.451946,0,0,None,0
Northern_California_Li_Battery_4hr_158,0,None,1,0,0.0,-1,0.0,106301.451946,0,0,None,0
Northern_California_Li_Battery_4hr_158_Generic,0,None,1,0,0.0,-1,0.0,106301.451946,0,0,None,0
Northern_California_Li_Battery_4hr_159,0,None,1,0,0.0,-1,0.0,106301.451946,0,0,None,0
Northern_California_Li_Battery_4hr_159_Generic,0,None,1,0,0.0,-1,0.0,106301.451946,0,0,None,0
Northern_California_Li_Battery_4hr_166,0,None,1,0,0.0,-1,0.0,106301.451946,0,0,None,0
Northern_California_Li_Battery_4hr_166_Generic,0,None,1,0,0.0,-1,0.0,106301.451946,0,0,None,0
Northern_California_Li_Battery_4hr_172,0,None,1,0,0.0,-1,0.0,106301.451946,0,0,None,0
Northern_California_Li_Battery_4hr_172_Generic,0,None,1,0,0.0,-1,0.0,106301.451946,0,0,None,0
Northern_California_Li_Battery_4hr_178,0,None,1,0,0.0,-1,0.0,106301.451946,0,0,None,0
Northern_California_Li_Battery_4hr_178_Generic,0,None,1,0,0.0,-1,0.0,106301.451946,0,0,None,0
Northern_California_Li_Battery_4hr_179,0,None,1,0,0.0,-1,0.0,106301.451946,0,0,None,0
Northern_California_Li_Battery_4hr_179_Generic,0,None,1,0,0.0,-1,0.0,106301.451946,0,0,None,0
Northern_California_Li_Battery_4hr_180,0,None,1,0,0.0,-1,0.0,106301.451946,0,0,None,0
Northern_California_Li_Battery_4hr_180_Generic,0,None,1,0,0.0,-1,0.0,106301.451946,0,0,None,0
Northern_California_Li_Battery_4hr_25,0,None,1,0,0.0,-1,0.0,106301.451946,0,0,None,0
Northern_California_Li_Battery_4hr_25_Generic,0,None,1,0,0.0,-1,0.0,106301.451946,0,0,None,0
Northern_California_Li_Battery_4hr_26,0,None,1,0,0.0,-1,0.0,106301.451946,0,0,None,0
Northern_California_Li_Battery_4hr_26_Generic,0,None,1,0,0.0,-1,0.0,106301.451946,0,0,None,0
Northern_California_Li_Battery_4hr_29,0,None,1,0,0.0,-1,0.0,106301.451946,0,0,None,0
Northern_California_Li_Battery_4hr_29_Generic,0,None,1,0,0.0,-1,0.0,106301.451946,0,0,None,0
Northern_California_Li_Battery_4hr_31,0,None,1,0,0.0,-1,0.0,106301.451946,0,0,None,0
Northern_California_Li_Battery_4hr_31_Generic,0,None,1,0,0.0,-1,0.0,106301.451946,0,0,None,0
Northern_California_Li_Battery_4hr_35,0,None,1,0,0.0,-1,0.0,106301.451946,0,0,None,0
Northern_California_Li_Battery_4hr_35_Generic,0,None,1,0,0.0,-1,0.0,106301.451946,0,0,None,0
Northern_California_Li_Battery_4hr_38,0,None,1,0,0.0,-1,0.0,106301.451946,0,0,None,0
Northern_California_Li_Battery_4hr_38_Generic,0,None,1,0,0.0,-1,0.0,106301.451946,0,0,None,0
Northern_California_Li_Battery_4hr_41,0,None,1,0,0.0,-1,0.0,106301.451946,0,0,None,0
Northern_California_Li_Battery_4hr_41_Generic,0,None,1,0,0.0,-1,0.0,106301.451946,0,0,None,0
Northern_California_Li_Battery_4hr_44,0,None,1,0,0.0,-1,0.0,106301.451946,0,0,None,0
Northern_California_Li_Battery_4hr_44_Generic,0,None,1,0,0.0,-1,0.0,106301.451946,0,0,None,0
Northern_California_Li_Battery_4hr_5,0,None,1,0,0.0,-1,0.0,106301.451946,0,0,None,0
Northern_California_Li_Battery_4hr_51,0,None,1,0,0.0,-1,0.0,106301.451946,0,0,None,0
Northern_California_Li_Battery_4hr_51_Generic,0,None,1,0,0.0,-1,0.0,106301.451946,0,0,None,0
Northern_California_Li_Battery_4hr_57,0,None,1,0,0.0,-1,0.0,106301.451946,0,0,None,0
Northern_California_Li_Battery_4hr_57_Generic,0,None,1,0,0.0,-1,0.0,106301.451946,0,0,None,0
Northern_California_Li_Battery_4hr_5_Generic,0,None,1,0,0.0,-1,0.0,106301.451946,0,0,None,0
Northern_California_Li_Battery_4hr_68,0,None,1,0,0.0,-1,0.0,106301.451946,0,0,None,0
Northern_California_Li_Battery_4hr_68_Generic,0,None,1,0,0.0,-1,0.0,106301.451946,0,0,None,0
Northern_California_Li_Battery_4hr_70,0,None,1,0,0.0,-1,0.0,106301.451946,0,0,None,0
Northern_California_Li_Battery_4hr_70_Generic,0,None,1,0,0.0,-1,0.0,106301.451946,0,0,None,0
Northern_California_Li_Battery_4hr_73,0,None,1,0,0.0,-1,0.0,106301.451946,0,0,None,0
Northern_California_Li_Battery_4hr_73_Generic,0,None,1,0,0.0,-1,0.0,106301.451946,0,0,None,0
Northern_California_Li_Battery_4hr_76,0,None,1,0,0.0,-1,0.0,106301.451946,0,0,None,0
Northern_California_Li_Battery_4hr_76_Generic,0,None,1,0,0.0,-1,0.0,106301.451946,0,0,None,0
Northern_California_Li_Battery_4hr_80,0,None,1,0,0.0,-1,0.0,106301.451946,0,0,None,0
Northern_California_Li_Battery_4hr_80_Generic,0,None,1,0,0.0,-1,0.0,106301.451946,0,0,None,0
Northern_California_Li_Battery_4hr_82,0,None,1,0,0.0,-1,0.0,106301.451946,0,0,None,0
Northern_California_Li_Battery_4hr_82_Generic,0,None,1,0,0.0,-1,0.0,106301.451946,0,0,None,0
Northern_California_Li_Battery_4hr_83,0,None,1,0,0.0,-1,0.0,106301.451946,0,0,None,0
Northern_California_Li_Battery_4hr_83_Generic,0,None,1,0,0.0,-1,0.0,106301.451946,0,0,None,0
Northern_California_Li_Battery_4hr_84,0,None,1,0,0.0,-1,0.0,106301.451946,0,0,None,0
Northern_California_Li_Battery_4hr_84_Generic,0,None,1,0,0.0,-1,0.0,106301.451946,0,0,None,0
Northern_California_Li_Battery_4hr_85,0,None,1,0,0.0,-1,0.0,106301.451946,0,0,None,0
Northern_California_Li_Battery_4hr_85_Generic,0,None,1,0,0.0,-1,0.0,106301.451946,0,0,None,0
Northern_California_Li_Battery_4hr_92,0,None,1,0,0.0,-1,0.0,106301.451946,0,0,None,0
Northern_California_Li_Battery_4hr_92_Generic,0,None,1,0,0.0,-1,0.0,106301.451946,0,0,None,0
Northern_California_Li_Battery_4hr_94,0,None,1,0,0.0,-1,0.0,106301.451946,0,0,None,0
Northern_California_Li_Battery_4hr_94_Generic,0,None,1,0,0.0,-1,0.0,106301.451946,0,0,None,0
Northern_California_Li_Battery_4hr_96,0,None,1,0,0.0,-1,0.0,106301.451946,0,0,None,0
Northern_California_Li_Battery_4hr_96_Generic,0,None,1,0,0.0,-1,0.0,106301.451946,0,0,None,0
Northern_California_Li_Battery_8hr_100,0,None,1,0,0.0,-1,0.0,171301.451946,0,0,None,0
Northern_California_Li_Battery_8hr_100_Generic,0,None,1,0,0.0,-1,0.0,171301.451946,0,0,None,0
Northern_California_Li_Battery_8hr_112,0,None,1,0,0.0,-1,0.0,171301.451946,0,0,None,0
Northern_California_Li_Battery_8hr_112_Generic,0,None,1,0,0.0,-1,0.0,171301.451946,0,0,None,0
Northern_California_Li_Battery_8hr_113,0,None,1,0,0.0,-1,0.0,171301.451946,0,0,None,0
Northern_California_Li_Battery_8hr_113_Generic,0,None,1,0,0.0,-1,0.0,171301.451946,0,0,None,0
Northern_California_Li_Battery_8hr_114,0,None,1,0,0.0,-1,0.0,171301.451946,0,0,None,0
Northern_California_Li_Battery_8hr_114_Generic,0,None,1,0,0.0,-1,0.0,171301.451946,0,0,None,0
Northern_California_Li_Battery_8hr_116,0,None,1,0,0.0,-1,0.0,171301.451946,0,0,None,0
Northern_California_Li_Battery_8hr_116_Generic,0,None,1,0,0.0,-1,0.0,171301.451946,0,0,None,0
Northern_California_Li_Battery_8hr_121,0,None,1,0,0.0,-1,0.0,171301.451946,0,0,None,0
Northern_California_Li_Battery_8hr_121_Generic,0,None,1,0,0.0,-1,0.0,171301.451946,0,0,None,0
Northern_California_Li_Battery_8hr_122,0,None,1,0,0.0,-1,0.0,171301.451946,0,0,None,0
Northern_California_Li_Battery_8hr_122_Generic,0,None,1,0,0.0,-1,0.0,171301.451946,0,0,None,0
Northern_California_Li_Battery_8hr_126,0,None,1,0,0.0,-1,0.0,171301.451946,0,0,None,0
Northern_California_Li_Battery_8hr_126_Generic,0,None,1,0,0.0,-1,0.0,171301.451946,0,0,None,0
Northern_California_Li_Battery_8hr_127,0,None,1,0,0.0,-1,0.0,171301.451946,0,0,None,0
Northern_California_Li_Battery_8hr_127_Generic,0,None,1,0,0.0,-1,0.0,171301.451946,0,0,None,0
Northern_California_Li_Battery_8hr_130,0,None,1,0,0.0,-1,0.0,171301.451946,0,0,None,0
Northern_California_Li_Battery_8hr_130_Generic,0,None,1,0,0.0,-1,0.0,171301.451946,0,0,None,0
Northern_California_Li_Battery_8hr_132,0,None,1,0,0.0,-1,0.0,171301.451946,0,0,None,0
Northern_California_Li_Battery_8hr_132_Generic,0,None,1,0,0.0,-1,0.0,171301.451946,0,0,None,0
Northern_California_Li_Battery_8hr_135,0,None,1,0,0.0,-1,0.0,171301.451946,0,0,None,0
Northern_California_Li_Battery_8hr_135_Generic,0,None,1,0,0.0,-1,0.0,171301.451946,0,0,None,0
Northern_California_Li_Battery_8hr_138,0,None,1,0,0.0,-1,0.0,171301.451946,0,0,None,0
Northern_California_Li_Battery_8hr_138_Generic,0,None,1,0,0.0,-1,0.0,171301.451946,0,0,None,0
Northern_California_Li_Battery_8hr_141,0,None,1,0,0.0,-1,0.0,171301.451946,0,0,None,0
Northern_California_Li_Battery_8hr_141_Generic,0,None,1,0,0.0,-1,0.0,171301.451946,0,0,None,0
Northern_California_Li_Battery_8hr_144,0,None,1,0,0.0,-1,0.0,171301.451946,0,0,None,0
Northern_California_Li_Battery_8hr_144_Generic,0,None,1,0,0.0,-1,0.0,171301.451946,0,0,None,0
Northern_California_Li_Battery_8hr_149,0,None,1,0,0.0,-1,0.0,171301.451946,0,0,None,0
Northern_California_Li_Battery_8hr_149_Generic,0,None,1,0,0.0,-1,0.0,171301.451946,0,0,None,0
Northern_California_Li_Battery_8hr_150,0,None,1,0,0.0,-1,0.0,171301.451946,0,0,None,0
Northern_California_Li_Battery_8hr_150_Generic,0,None,1,0,0.0,-1,0.0,171301.451946,0,0,None,0
Northern_California_Li_Battery_8hr_155,0,None,1,0,0.0,-1,0.0,171301.451946,0,0,None,0
Northern_California_Li_Battery_8hr_155_Generic,0,None,1,0,0.0,-1,0.0,171301.451946,0,0,None,0
Northern_California_Li_Battery_8hr_157,0,None,1,0,0.0,-1,0.0,171301.451946,0,0,None,0
Northern_California_Li_Battery_8hr_157_Generic,0,None,1,0,0.0,-1,0.0,171301.451946,0,0,None,0
Northern_California_Li_Battery_8hr_158,0,None,1,0,0.0,-1,0.0,171301.451946,0,0,None,0
Northern_California_Li_Battery_8hr_158_Generic,0,None,1,0,0.0,-1,0.0,171301.451946,0,0,None,0
Northern_California_Li_Battery_8hr_159,0,None,1,0,0.0,-1,0.0,171301.451946,0,0,None,0
Northern_California_Li_Battery_8hr_159_Generic,0,None,1,0,0.0,-1,0.0,171301.451946,0,0,None,0
Northern_California_Li_Battery_8hr_166,0,None,1,0,0.0,-1,0.0,171301.451946,0,0,None,0
Northern_California_Li_Battery_8hr_166_Generic,0,None,1,0,0.0,-1,0.0,171301.451946,0,0,None,0
Northern_California_Li_Battery_8hr_172,0,None,1,0,0.0,-1,0.0,171301.451946,0,0,None,0
Northern_California_Li_Battery_8hr_172_Generic,0,None,1,0,0.0,-1,0.0,171301.451946,0,0,None,0
Northern_California_Li_Battery_8hr_178,0,None,1,0,0.0,-1,0.0,171301.451946,0,0,None,0
Northern_California_Li_Battery_8hr_178_Generic,0,None,1,0,0.0,-1,0.0,171301.451946,0,0,None,0
Northern_California_Li_Battery_8hr_179,0,None,1,0,0.0,-1,0.0,171301.451946,0,0,None,0
Northern_California_Li_Battery_8hr_179_Generic,0,None,1,0,0.0,-1,0.0,171301.451946,0,0,None,0
Northern_California_Li_Battery_8hr_180,0,None,1,0,0.0,-1,0.0,171301.451946,0,0,None,0
Northern_California_Li_Battery_8hr_180_Generic,0,None,1,0,0.0,-1,0.0,171301.451946,0,0,None,0
Northern_California_Li_Battery_8hr_25,0,None,1,0,0.0,-1,0.0,171301.451946,0,0,None,0
Northern_California_Li_Battery_8hr_25_Generic,0,None,1,0,0.0,-1,0.0,171301.451946,0,0,None,0
Northern_California_Li_Battery_8hr_26,0,None,1,0,0.0,-1,0.0,171301.451946,0,0,None,0
Northern_California_Li_Battery_8hr_26_Generic,0,None,1,0,0.0,-1,0.0,171301.451946,0,0,None,0
Northern_California_Li_Battery_8hr_29,0,None,1,0,0.0,-1,0.0,171301.451946,0,0,None,0
Northern_California_Li_Battery_8hr_29_Generic,0,None,1,0,0.0,-1,0.0,171301.451946,0,0,None,0
Northern_California_Li_Battery_8hr_31,0,None,1,0,0.0,-1,0.0,171301.451946,0,0,None,0
Northern_California_Li_Battery_8hr_31_Generic,0,None,1,0,0.0,-1,0.0,171301.451946,0,0,None,0
Northern_California_Li_Battery_8hr_35,0,None,1,0,0.0,-1,0.0,171301.451946,0,0,None,0
Northern_California_Li_Battery_8hr_35_Generic,0,None,1,0,0.0,-1,0.0,171301.451946,0,0,None,0
Northern_California_Li_Battery_8hr_38,0,None,1,0,0.0,-1,0.0,171301.451946,0,0,None,0
Northern_California_Li_Battery_8hr_38_Generic,0,None,1,0,0.0,-1,0.0,171301.451946,0,0,None,0
Northern_California_Li_Battery_8hr_41,0,None,1,0,0.0,-1,0.0,171301.451946,0,0,None,0
Northern_California_Li_Battery_8hr_41_Generic,0,None,1,0,0.0,-1,0.0,171301.451946,0,0,None,0
Northern_California_Li_Battery_8hr_44,0,None,1,0,0.0,-1,0.0,171301.451946,0,0,None,0
Northern_California_Li_Battery_8hr_44_Generic,0,None,1,0,0.0,-1,0.0,171301.451946,0,0,None,0
Northern_California_Li_Battery_8hr_5,0,None,1,0,0.0,-1,0.0,171301.451946,0,0,None,0
Northern_California_Li_Battery_8hr_51,0,None,1,0,0.0,-1,0.0,171301.451946,0,0,None,0
Northern_California_Li_Battery_8hr_51_Generic,0,None,1,0,0.0,-1,0.0,171301.451946,0,0,None,0
Northern_California_Li_Battery_8hr_57,0,None,1,0,0.0,-1,0.0,171301.451946,0,0,None,0
