Resource,Zone,StartCap_p1,EndCap_p1,EndCap_p2,EndCap_p3,EndCap_p4,EndCap_p5,EndCap_p6,EndCap_p7,EndCap_p8,EndCap_p9,EndCap_p10,EndCap_p11,EndCap_p12,EndCap_p13,EndCap_p14,EndCap_p15,EndCap_p16,EndCap_p17
AZ_conventional_hydroelectric_1,1,1994.7,1994.7,1584.8,1584.8,1584.8,1584.8,1584.8,1584.8,1584.8,1584.8,1584.8,1584.8,1584.8,1584.8,1584.8,1584.8,1584.8,1584.8
CA_N_conventional_hydroelectric_1,2,3278.4,3278.4,2758.7,2758.7,2758.7,2758.7,2758.7,2758.7,2758.7,2758.7,2758.7,2758.7,2758.7,2758.7,2758.7,2758.7,2758.7,2758.7
CA_S_conventional_hydroelectric_1,3,1283.8,1283.8,328.7,328.7,328.7,328.7,328.7,328.7,328.7,328.7,328.7,328.7,328.7,328.7,328.7,328.7,328.7,328.7
MT_WY_CO_conventional_hydroelectric_1,4,2921.1,2921.1,2793.5,2793.5,2793.5,2793.5,2793.5,2793.5,2793.5,2793.5,2793.5,2793.5,2793.5,2793.5,2793.5,2793.5,2793.5,2793.5
PNW_conventional_hydroelectric_1,6,16574.1,16574.1,15644.1,15644.1,15644.1,15644.1,15644.1,15644.1,15644.1,15644.1,15644.1,15644.1,15644.1,15644.1,15644.1,15644.1,15644.1,15644.1
UT_NV_conventional_hydroelectric_1,7,679.9,679.9,304.39,304.39,304.39,304.39,304.39,304.39,304.39,304.39,304.39,304.39,304.39,304.39,304.39,304.39,304.39,304.39
AZ_conventional_steam_coal_1,1,3790.0,3790.0,3790.0,3790.0,3790.0,3790.0,3790.0,3790.0,3790.0,3790.0,3790.0,3790.0,3790.0,3790.0,3790.0,3790.0,3790.0,3790.0
AZ_natural_gas_fired_combined_cycle_1,1,10138.6,10138.6,10138.6,10138.6,10138.6,10138.6,10138.6,10138.6,10138.6,10138.6,10138.6,10138.6,10138.6,10138.6,10138.6,10138.6,10138.6,10138.6
AZ_natural_gas_fired_combustion_turbine_1,1,3639.2,3639.2,3639.2,3639.2,3639.2,3639.2,3639.2,3639.2,3639.2,3639.2,3639.2,3639.2,3639.2,3639.2,3639.2,3639.2,3639.2,3639.2
AZ_natural_gas_steam_turbine_1,1,842.0,842.0,842.0,842.0,842.0,842.0,842.0,842.0,842.0,842.0,842.0,842.0,842.0,842.0,842.0,842.0,842.0,842.0
AZ_nuclear_1,1,1834.2,1834.2,1834.2,1834.2,1834.2,1834.2,1834.2,1834.2,1834.2,1834.2,1834.2,1834.2,1834.2,1834.2,1834.2,1834.2,1834.2,1834.2
AZ_other_peaker_1,1,182.0,182.0,182.0,182.0,182.0,182.0,182.0,182.0,182.0,182.0,182.0,182.0,182.0,182.0,182.0,182.0,182.0,182.0
CA_N_natural_gas_fired_combined_cycle_1,2,8580.7,8580.7,8580.7,8580.7,8580.7,8580.7,8580.7,8580.7,8580.7,8580.7,8580.7,8580.7,8580.7,8580.7,8580.7,8580.7,8580.7,8580.7
CA_N_natural_gas_fired_combustion_turbine_1,2,3688.0,3688.0,3688.0,3688.0,3688.0,3688.0,3688.0,3688.0,3688.0,3688.0,3688.0,3688.0,3688.0,3688.0,3688.0,3688.0,3688.0,3688.0
CA_N_nuclear_1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CA_N_other_peaker_1,2,472.4,472.4,472.4,472.4,472.4,472.4,472.4,472.4,472.4,472.4,472.4,472.4,472.4,472.4,472.4,472.4,472.4,472.4
CA_S_natural_gas_fired_combined_cycle_1,3,10812.1,10812.1,10812.1,10812.1,10812.1,10812.1,10812.1,10812.1,10812.1,10812.1,10812.1,10812.1,10812.1,10812.1,10812.1,10812.1,10812.1,10812.1
CA_S_natural_gas_fired_combustion_turbine_1,3,6826.7,6826.7,6826.7,6826.7,6826.7,6826.7,6826.7,6826.7,6826.7,6826.7,6826.7,6826.7,6826.7,6826.7,6826.7,6826.7,6826.7,6826.7
CA_S_natural_gas_steam_turbine_1,3,444.3,444.3,444.3,444.3,444.3,444.3,444.3,444.3,444.3,444.3,444.3,444.3,444.3,444.3,444.3,444.3,444.3,444.3
CA_S_other_peaker_1,3,28.1,28.1,28.1,28.1,28.1,28.1,28.1,28.1,28.1,28.1,28.1,28.1,28.1,28.1,28.1,28.1,28.1,28.1
MT_WY_CO_conventional_steam_coal_1,4,6704.9,6704.9,6704.9,6704.9,6704.9,6704.9,6704.9,6704.9,6704.9,6704.9,6704.9,6704.9,6704.9,6704.9,6704.9,6704.9,6704.9,6704.9
MT_WY_CO_natural_gas_fired_combined_cycle_1,4,3545.5,3545.5,3545.5,3545.5,3545.5,3545.5,3545.5,3545.5,3545.5,3545.5,3545.5,3545.5,3545.5,3545.5,3545.5,3545.5,3545.5,3545.5
MT_WY_CO_natural_gas_fired_combustion_turbine_1,4,2900.3,2900.3,2900.3,2900.3,2900.3,2900.3,2900.3,2900.3,2900.3,2900.3,2900.3,2900.3,2900.3,2900.3,2900.3,2900.3,2900.3,2900.3
MT_WY_CO_natural_gas_steam_turbine_1,4,1070.0,1070.0,1070.0,1070.0,1070.0,1070.0,1070.0,1070.0,1070.0,1070.0,1070.0,1070.0,1070.0,1070.0,1070.0,1070.0,1070.0,1070.0
MT_WY_CO_other_peaker_1,4,462.7,462.7,462.7,462.7,462.7,462.7,462.7,462.7,462.7,462.7,462.7,462.7,462.7,462.7,462.7,462.7,462.7,462.7
NM_conventional_steam_coal_1,5,308.0,308.0,308.0,308.0,308.0,308.0,308.0,308.0,308.0,308.0,308.0,308.0,308.0,308.0,308.0,308.0,308.0,308.0
NM_natural_gas_fired_combined_cycle_1,5,1322.6,1322.6,1322.6,1322.6,1322.6,1322.6,1322.6,1322.6,1322.6,1322.6,1322.6,1322.6,1322.6,1322.6,1322.6,1322.6,1322.6,1322.6
NM_natural_gas_fired_combustion_turbine_1,5,1228.4,1228.4,1228.4,1228.4,1228.4,1228.4,1228.4,1228.4,1228.4,1228.4,1228.4,1228.4,1228.4,1228.4,1228.4,1228.4,1228.4,1228.4
NM_natural_gas_steam_turbine_1,5,229.0,229.0,229.0,229.0,229.0,229.0,229.0,229.0,229.0,229.0,229.0,229.0,229.0,229.0,229.0,229.0,229.0,229.0
NM_other_peaker_1,5,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2
PNW_conventional_steam_coal_1,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PNW_natural_gas_fired_combined_cycle_1,6,6215.0,6215.0,6215.0,6215.0,6215.0,6215.0,6215.0,6215.0,6215.0,6215.0,6215.0,6215.0,6215.0,6215.0,6215.0,6215.0,6215.0,6215.0
PNW_natural_gas_fired_combustion_turbine_1,6,1292.3,1292.3,1292.3,1292.3,1292.3,1292.3,1292.3,1292.3,1292.3,1292.3,1292.3,1292.3,1292.3,1292.3,1292.3,1292.3,1292.3,1292.3
PNW_nuclear_1,6,1151.0,1151.0,1151.0,1151.0,1151.0,1151.0,1151.0,1151.0,1151.0,1151.0,1151.0,1151.0,1151.0,1151.0,1151.0,1151.0,1151.0,1151.0
PNW_other_peaker_1,6,276.7,276.7,276.7,276.7,276.7,276.7,276.7,276.7,276.7,276.7,276.7,276.7,276.7,276.7,276.7,276.7,276.7,276.7
UT_NV_conventional_steam_coal_1,7,3254.3,3254.3,3254.3,3254.3,3254.3,3254.3,3254.3,3254.3,3254.3,3254.3,3254.3,3254.3,3254.3,3254.3,3254.3,3254.3,3254.3,3254.3
UT_NV_natural_gas_fired_combined_cycle_1,7,7829.9,7829.9,7829.9,7829.9,7829.9,7829.9,7829.9,7829.9,7829.9,7829.9,7829.9,7829.9,7829.9,7829.9,7829.9,7829.9,7829.9,7829.9
UT_NV_natural_gas_fired_combustion_turbine_1,7,2039.3,2039.3,2039.3,2039.3,2039.3,2039.3,2039.3,2039.3,2039.3,2039.3,2039.3,2039.3,2039.3,2039.3,2039.3,2039.3,2039.3,2039.3
UT_NV_natural_gas_steam_turbine_1,7,345.5,345.5,345.5,345.5,345.5,345.5,345.5,345.5,345.5,345.5,345.5,345.5,345.5,345.5,345.5,345.5,345.5,345.5
UT_NV_other_peaker_1,7,122.7,122.7,122.7,122.7,122.7,122.7,122.7,122.7,122.7,122.7,122.7,122.7,122.7,122.7,122.7,122.7,122.7,122.7
AZ_naturalgas_2on1_combined_cycle_fframe_moderate_0,1,0.0,2897.9202200341338,2897.9202200341338,3299.985421808255,2897.9202200341338,3475.5057725097604,2897.9202200341338,3517.966653410983,2897.9202200341338,3787.8124364999603,4026.9847924784117,5701.542560173013,3566.2371753083153,5740.292889569469,2897.9202200341338,5785.772963327807,3663.5865960212277,6133.699025064036
AZ_naturalgas_2on1_combined_cycle_fframe_95_ccs_moderate_0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AZ_naturalgas_combustion_turbine_fframe_moderate_0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AZ_nuclear_nuclear__large_moderate_0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CA_N_naturalgas_2on1_combined_cycle_fframe_moderate_0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CA_N_naturalgas_2on1_combined_cycle_fframe_95_ccs_moderate_0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
