Time_Index,Arizona_Solar,BTM_Solar,DaggettSolarPower3,EdwardsSolarII,FervoFECNevada1,Greater_Imperial_Geothermal,Humboldt_Bay_Offshore_Wind,InState_Biomass,Morro_Bay_Offshore_Wind,New_Mexico_Wind,Northern_California_Geothermal,Northern_California_Solar,Northern_California_Wind,NW_Ext_Tx_Wind,Riverside_Palm_Springs_Wind,Riverside_Solar,RosamondCentral,Scarlet,Southern_Nevada_Geothermal,SummitWind,Tecolote,TulareSolarCenter,Wyoming_Wind,Hybrid_Solar_Test,Hybrid_Wind_Test,CAM_CAM_RA_i,CAM_CAM_RA_ii,CAM_CAM_RA_iii,CAM_DR_RA,CAM_CPE_RA_i,CAM_CPE_RA_ii,Aramis,CALP01RA2027,CHEV01RA2024,CHEV01RA2025,EBMUD01RA2024,GEN01RA2026,HDP01RA2027,HDP01RA2028,HDP01RA2030,HenriettaStorage,MRL01RA2030,NEXT01RA2026,Oberon,OhmConnect,Sanborn,SDGE01RA2024,SENA01RA2027,SUN01RA2031,TPS01RA2024,Tumbleweed,Generic_6hr_battery,Generic_8hr_battery,Generic_RA_Only,Arizona_Li_Battery,CAISO_Advanced_CCGT_candidate,CAISO_Aero_CT_candidate,CAISO_New_Flow_Battery,CAISO_Reciprocating_Engine_candidate,CAISO_Shed_DR_Tranche1,Northern_California_Li_Battery,Riverside_Li_Battery,Riverside_West_Pumped_Storage,Tehachapi_Pumped_Storage
1,0,0,0,0,0.801,0.881,0.31,0.85,1,0.037,0.81,0,0.103,0.03,0.034,0,0,0,0.843,0.32,0.178,0,0.343,0,0.343,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,0,0,0,0,0.801,0.881,0.56,0.85,1,0.029,0.81,0,0.145,0.047,0.033,0,0,0,0.843,0.294,0.225,0,0.402,0,0.402,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,0,0,0,0,0.801,0.881,0.82,0.85,1,0.035,0.81,0,0.227,0.067,0.026,0,0,0,0.843,0.258,0.262,0,0.407,0,0.407,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4,0,0,0,0,0.801,0.881,1,0.85,1,0.048,0.81,0,0.324,0.08,0.103,0,0,0,0.843,0.21,0.089,0,0.405,0,0.405,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5,0,0,0,0,0.801,0.881,1,0.85,1,0.083,0.81,0,0.399,0.093,0.281,0,0,0,0.843,0.222,0.097,0,0.399,0,0.399,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6,0,0,0,0,0.801,0.881,1,0.85,1,0.105,0.81,0,0.44,0.12,0.401,0,0,0,0.843,0.16,0.133,0,0.365,0,0.365,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
7,0,0,0,0,0.801,0.881,1,0.85,1,0.133,0.81,0,0.473,0.165,0.453,0.004,0,0,0.843,0.206,0.159,0,0.335,0.004,0.335,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
8,0,0.201,0.201,0.141,0.801,0.881,1,0.85,1,0.153,0.81,0.075,0.473,0.224,0.457,0.398,0.019,0,0.843,0.244,0.256,0,0.289,0.398,0.289,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
9,1,0.798,0.798,0.705,0.801,0.881,1,0.85,0.92,0.108,0.81,0.469,0.443,0.29,0.48,0.668,0.074,0.033,0.843,0.15,0.628,0.031,0.266,0.668,0.266,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
10,1,0.791,0.791,0.752,0.801,0.881,1,0.85,0.86,0.087,0.81,0.699,0.413,0.316,0.449,0.801,0.135,0.096,0.843,0.156,0.587,0.056,0.235,0.801,0.235,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
